"Yes","Oui"
"No","Non"
"VerifiedReviews","AvisVérifiés"
"Product Reviews","Product Reviews"
"Number of reviews","Nombre d'avis"
"Average rating","Note moyenne"
"View the trust certificate","Afficher l'attestation de confiance"
"More Reviews...","Plus de commentaires..."
"No reviews for this product.","Aucun avis n'a encore été laissé sur ce produit."
"the","le"
"d/m/Y","d/m/Y"
"Comments of","Commentaire de"
"on","le"
"review(s)","avis"
"review","avis"
"Review","Avis client"
"reviews","avis"
"Reviews","Avis clients"
"See the review(s)","Voir les avis"
"Based on","Calculé à partir de"
"customer(s) reviews","avis client(s)"
"Anonymous A.","Client anonyme"
"Anonymous a.","Client anonyme"
"anonymous a.","Client anonyme"
"anonymous A.","Client anonyme"
"anonymous  .","Client anonyme"
"anonymous ","Client anonyme"
"anonymous","Client anonyme"
"Anonymous  .","Client anonyme"
"Anonymous ","Client anonyme"
"Anonymous","Client anonyme"
"Verified Reviews","Avis Vérifiés"
"Verified Reviews v.3.9.3","Avis Vérifiés v.3.9.3"
"Export orders (CSV file)","Exportation des commandes (fichier CSV)"
"Installation Status","Vérifier l'installation"
"Configuration","Configuration"
"General Configuration","Configuration Générale"
"IMPORTANT: BEFORE ALL PLEASE SELECT THE STORE TO CONFIGURE IN THE TOP-LEFT MENU.","IMPORTANT : AVANT TOUT SÉLECTIONNEZ LA BOUTIQUE À CONFIGURER DANS LE MENU EN HAUT À GAUCHE."
"Enable Module in this view","Activer le module dans cette vue"
"By activating the module, you will reap your website and product reviews. Go to the advanced configuration if you want to change the product reviews configuration.","Quand le module sera actif vous allez récolter des avis site et produit. Allez sur la configuration avancée si vous voulez changer la configuration des avis produits."
"Secret Key","Clé Secrète"
"Website ID","ID Website"
"Advanced Configuration","Configuration Avancée"
"Add reviews to product page","Afficher les avis sur la page produit"
"This configuration is used to add the product reviews block in the product page.","Cette configuration est utilisée pour ajouter le bloque des avis produits dans la page produit."
"jQuery present on the site?","jQuery est présent sur le site ?"
"Change this to yes, if jQuery is already used on the site.","Changez ceci à oui si votre site Web utilise jQuery."
"Activate the Rich-Snippets in the product page","Activer les Rich-Snippets dans la page produit"
"Use the SKU or the ID to identify products","Utiliser le SKU ou l'ID pour identifier les produits"
"ATTENTION! OPTION ONLY RESERVED FOR VERIFIED-REVIEWS TEAM. Change it only if our team contact you.","ATTENTION ! CETTE OPTION N'EST RÉSERVÉE QUE POUR L'ÉQUIPE D'AVIS VÉRIFIÉS. Changez-la uniquement si notre équipe vous le demande."
"Use the data of the Parent product.","Utiliser les données des produits Parents."
"Google Shopping - Product Data (PLA)","Google Shopping - Données du produit (PLA)"
"Fields Mapping","Mappage des Champs"
"IMPORTANT: Before all please select the STORE where you already configured the module, otherwise Google Shopping won't recognize your product data. Then UNCHECK ONLY THE FIELDS that you are sure to get extra product data for Google Shopping.","IMPORTANT : Avant tout sélectionnez LA BOUTIQUE où vous avez déjà configuré le module, autrement Google Shopping ne va pas reconnaître les données des produits. Après cela, DÉCOCHEZ UNIQUEMENT LES CHAMPS pour lesquels vous êtes sûr de vouloir les envoyer à Google Shopping."
"Google Shopping PLA can only be configured in STORES view, please select in the top-left menu the STORE that you want to configure.","Google Shopping PLA peut être configuré uniquement pour LES BOUTIQUES, sélectionnez dans le menu en haut à gauche LA BOUTIQUE que vous souhaitez configurer."
"ID","ID"
"WARNING! ID is already got from your products, change it only if you are sure that the module is collecting a wrong data.","ATTENTION ! L'ID est déjà bien pris en compte, changez-le uniquement si vous êtes sûr que le module ne récolte pas la bonne donnée."
"SKU","SKU"
"WARNING! SKU is already got from your products, change it only if you are sure that the module is collecting a wrong data.","ATTENTION ! Le SKU est déjà bien pris en compte, changez-le uniquement si vous êtes sûr que le module ne récolte pas la bonne donnée."
